nautilus            鹦鹉螺
mutate              突变
asyn chron ous      异步
underway        
malicious           恶毒
encrpty             编码
sophisticate        世故的
authentication      验证
azimuth             方位
digest              摘要
distinct            明显的
expose              揭露
compact             紧凑；合同
reliable            负责
amend               修改
parlance            术语
strap               捆绑;带子
snippets            片段
tuple               元组


pallet             调色板
pluggable           可插入的
terminal            终端 
lint        
vital               至关重要
