i         不透明
terminology     术语
interpret       解释
crucial         重要
opaque          透明
complicate      复杂的
flattern        击败
rasterize       光删化
distinguish     区别
anyway          不管怎样
discard         丢弃
transparent     透明的
threshold       门槛
dramatically    戏剧性的
mathematics     数学
uniform         制服；统一的
assume          假定
iteractive      迭代的
parallax        视差



imply           暗示
analogous       类似的
trick           诡计
neat            整洁
adobe           adobe 
blender         搅拌机
confusion       困惑
territory       领土 
funnel          漏斗
polygens        多边形
decline         下降，衰退
explicit        明确的
increment       增量
via             渠道
essential       概要
facade          正面   
underlying      潜在的
dervive          源自
exclusively      专有的
directive       指令
flair           天资
resolve         解析;分析
prone           有。。倾向
elegant         高雅
ommit           省略
absence          缺乏





