	
comprehand      		理解
collaborate     	    合作  
intergraty         	 	正直
diverge            	 	分歧
amend              	 	修改
extraneous         	 	外来的
hassle             	 	困难
compact         		紧凑；合同
sophisticate    		复杂的
complicate      		复杂的
recursive       		递归的
subtle          		精妙的
distinct            	明显
strap               	捆绑;带子
snippets            	片段
cutaway             	剖面
comprise            	构成
pluggable           	可插入的
etc                 	等等

interpret       		解释
parallax        		视差

flattern        		击败
crucial         		重要
imply           		暗示
territory       		领土 
decline         		下降，衰退
prone           		有。。倾向
resolve         		解析;分析
absence         		 缺乏
aggregate     			集合体zmalicious           	恶毒z
fragile					易碎的z
delve					洞穴；研究z
humiliate				丢脸z
pension					退休金z
utter					十足的wz
fatigue					疲惫z
lucrative				有利可图的z

emulator				模拟器
compose					组成
typo					打字
reveal					揭露
initiate				发起
precision				精度
appropriate				接近
sensitive				敏感
elasticity				弹性的
infinate	    		无限
jitter					情景
stumble					踌躇
arithmetic		 		算法
fingertips				唾手可得
perception				看法；知觉
